Date,SOYBEAN,CORN,COCOA,COTTON,CS AGRIC INDEX
21-Apr-22,50.2873,61,18.297,39.2857,18.297
22-Apr-22,50.839,61.9383,19.0968,44,19.0968
25-Apr-22,50.1547,62,19.9461,50,19.9461
26-Apr-22,49.6718,62.0267,20.0007,50,20.0007
27-Apr-22,49.9476,63.4876,20.2227,50,20.2227
28-Apr-22,49.1609,63.5,20.2035,50,20.2035
29-Apr-22,49.0763,63.9878,20.0139,50,20.0139
02-May-22,49.267,67.1999,20.4166,50,20.4166
03-May-22,49.7185,67.9974,20.01,50,20.01
04-May-22,46.2219,67.0667,19.7097,40.0619,19.7097
05-May-22,45.3672,69.2064,18.0867,42.75,18.0867
06-May-22,45.0477,68.7161,17.7569,42.75,17.7569
09-May-22,42.835,62.0784,17.7216,42.75,17.7216
10-May-22,42.2092,65.0025,17.5072,42.75,17.5072
11-May-22,40.0012,68.74,17.1414,42.75,17.1414
12-May-22,39.7871,68.5102,15.8623,42.75,15.8623
13-May-22,39.7823,68.834,15.9544,42.75,15.9544
16-May-22,40.5032,69.986,16.2206,42.75,16.2206
17-May-22,41.1325,71.134,17.949,42.75,17.949
18-May-22,48.9555,72.5691,19.0452,42.75,19.0452
19-May-22,47.7749,74.9673,20.8779,42.75,20.8779
20-May-22,46.157,74.9881,20.9399,42.75,20.9399
23-May-22,46.2208,72.1142,22.7991,41.625,22.7991
24-May-22,45.7878,71.7923,21.7736,41.625,21.7736
25-May-22,46.1181,70.3057,20.6657,41.625,20.6657
26-May-22,45.037,67.196,20.5799,41.625,20.5799
27-May-22,43.478,66.9756,19.8172,41.625,19.8172
31-May-22,43.0294,65.4929,19.8235,41.625,19.8235
01-Jun-22,42.9877,60.8334,19.6768,41.625,19.6768
02-Jun-22,41.3123,59.8774,18.9162,41.625,18.9162
03-Jun-22,40.8855,58.785,19.002,41.65,19.002
06-Jun-22,40.0348,59.1281,19.1704,40.5,19.1704
07-Jun-22,40.9862,60.1208,18.9677,40.5,18.9677
08-Jun-22,41.0347,62.9435,19.8642,48,19.8642
09-Jun-22,42.7811,64.9917,20.13,46,20.13
10-Jun-22,45.7706,65.05,19.3435,46,19.3435
13-Jun-22,45.7382,65.008,18.9614,46,18.9614
14-Jun-22,47.3857,65.0523,19,46,19
15-Jun-22,49.7309,69.3523,19.0001,46,19.0001
16-Jun-22,51.0092,69.7838,19.0519,46,19.0519
17-Jun-22,50.9948,70.9399,19.6614,50,19.6614
21-Jun-22,51.0375,71.9031,20.0002,50,20.0002
22-Jun-22,49.683,72.0127,20,50,20
23-Jun-22,50.9811,72.0546,21.0002,50,21.0002
24-Jun-22,52.1811,73.2963,20.8652,50,20.8652
27-Jun-22,52.7065,75.9288,20.9952,50,20.9952
28-Jun-22,53.0921,78.2539,21.9457,50,21.9457
29-Jun-22,53.8542,80,22.996,50,22.996
30-Jun-22,55.3982,82.6619,22.9999,60,22.9999
01-Jul-22,55.6509,82.1925,23.0016,60,23.0016
05-Jul-22,60.3098,85.0038,23.6736,60,23.6736
06-Jul-22,62.8025,90,25.875,60,25.875
07-Jul-22,65,90.05,26.4639,60,26.4639
08-Jul-22,64.9341,89.6637,26.4579,60,26.4579
11-Jul-22,64.5653,82.8276,25.9533,60,25.9533
12-Jul-22,60.1391,84.954,25.5616,61,25.5616
13-Jul-22,59.9602,82.3668,26.4845,61,26.4845
14-Jul-22,60.315,82.1286,25.7264,60,25.7264
15-Jul-22,60.8087,82.1551,25.9953,65,25.9953
18-Jul-22,66.6728,82.2557,24.7523,64,24.7523
19-Jul-22,58.6274,81.8551,24.8006,64,24.8006
20-Jul-22,60.928,82.042,24.8011,64,24.8011
21-Jul-22,61.1195,81.9467,24.9352,56,24.9352
22-Jul-22,63.8029,81.2923,24.9773,55,24.9773
25-Jul-22,66.9961,81.0451,24.9966,60,24.9966
26-Jul-22,70.0017,81.1897,24.9507,60,24.9507
27-Jul-22,69.8435,81.957,24.8792,60,24.8792
28-Jul-22,69.8578,82.1356,24.5997,60,24.5997
29-Jul-22,69.9982,82.2783,25.0175,60,25.0175
01-Aug-22,70.7624,84.2355,26.0164,64,26.0164
02-Aug-22,72.07,87.2242,26.9337,64,26.9337
03-Aug-22,73.1183,92.8072,28.0534,64,28.0534
04-Aug-22,74.9933,90.2686,28.2998,65,28.2998
05-Aug-22,72.3539,90.017,28.2756,70,28.2756
08-Aug-22,68.9701,89.4615,27.344,70,27.344
09-Aug-22,67.25,89.05,27.5,70,27.5
10-Aug-22,69.9416,87.9819,27.5767,70,27.5767
11-Aug-22,70.1112,87.5086,27.509,70,27.509
12-Aug-22,72.8427,87.8118,27.2289,70,27.2289
15-Aug-22,74.3234,87.8083,27.3459,70,27.3459
16-Aug-22,74.8759,87.0309,27.5329,70,27.5329
17-Aug-22,73.5942,87.0176,27.5094,65.0893,27.5094
18-Aug-22,74,87,27.5039,65.0893,27.5039
